Pipelines,RMSE,MAE,MSE,PMAE,PMSE,PRMSE,VMAE,VMSE,VRMSE,xMAE,xMSE,xRMSE,features
XGBM_val,1328.0610458709982,833.7321968443246,1763746.1415599694,785.3371381867167,1248878.8417989037,1117.5324790800953,1737.4601870495635,4044296.8754497455,2011.0437278810589,1592.341060642959,3618229.442811514,1902.164410037028,483
XGBM_SF_val,1283.019330352982,788.9237673779384,1646138.6020594144,1598.3062073265912,5436977.519773669,2331.732729060873,1688.7238292703614,4204323.928880333,2050.4448124444443,1674.9427047361805,4392200.498496046,2095.7577385031996,82
