Pipelines,RMSE,MAE,MSE,PMAE,PMSE,PRMSE,VMAE,VMSE,VRMSE,xMAE,xMSE,xRMSE,features
XGBM_val,1330.6351333208731,814.4303374168949,1770589.858027858,724.3036697581437,1110243.6933465262,1053.6810206825053,1808.9496925388128,4353637.109443193,2086.537109529373,1643.6318972451052,3859290.9010418425,1964.5078012168449,483.0
XGBM_test,1131.3232217721934,769.8066961627264,1279892.2321210157,1279.6394233034682,2911171.430971268,1706.215528874142,2117.337458969012,6213340.589656241,2492.6573349853447,1746.4482523384654,4751311.496498008,2179.750328936323,
XGBM_SF_val,1332.0247433851457,813.7929308357155,1774289.9169902627,1878.973127277793,7564624.68613736,2750.3862794410097,1461.437167907982,3024827.812245507,1739.2032118891418,1525.0764777004067,3716767.112727165,1927.8918830492453,3.0
XGBM_SF_test,1435.2382584280667,949.4083017260054,2059908.8584556303,1825.9391580995534,6612510.434936814,2571.4802031003105,1611.895373630628,3778305.874239864,1943.7864785618465,1706.6628507237403,5033144.534701109,2243.467079032164,
