Model,Time_Spent
XGBRegressor_unscaled,25.363232612609863
SVR_unscaled,1833.270741939545
CatBoostRegressor_unscaled,164.0486445426941
LGBMRegressor_unscaled,40.91853046417236
NHITS_unscaled,42.4986298084259
LSTM_unscaled,212.7130138874054
TFT_unscaled,654.3577098846436
TCN_unscaled,2114.1768889427185
TiDE_unscaled,64.40962195396423
KAN_unscaled,59.14740514755249
XGBRegressor_unscaled,16.484903573989868
XGBRegressor_unscaled,16.927024602890015
SVR_unscaled,12.299017190933228
CatBoostRegressor_unscaled,190.6163165569305
LGBMRegressor_unscaled,14.289376497268677
NHITS_unscaled,36.26721453666687
LSTM_unscaled,61.87503409385681
TFT_unscaled,1149.146179676056
TCN_unscaled,136.9362416267395
TiDE_unscaled,72.38488626480103
KAN_unscaled,85.23642086982727
XGBRegressor_unscaled,16.561307430267334
LGBMRegressor_unscaled,14.473927974700928
XGBRegressor_unscaled,17.515241146087646
LGBMRegressor_unscaled,16.19369649887085
XGBRegressor_unscaled,17.258678674697876
SVR_unscaled,12.285167455673218
CatBoostRegressor_unscaled,255.6504545211792
LGBMRegressor_unscaled,18.613046407699585
NHITS_unscaled,39.144073486328125
LSTM_unscaled,67.03417873382568
TFT_unscaled,1082.5145840644836
TCN_unscaled,160.7691113948822
TiDE_unscaled,73.05135774612427
KAN_unscaled,87.21201467514038
XGBRegressor_unscaled,18.8932626247406
SVR_unscaled,11.618159770965576
CatBoostRegressor_unscaled,185.79411602020264
LGBMRegressor_unscaled,10.791146516799929
NHITS_unscaled,36.260722398757935
LSTM_unscaled,60.35597825050354
TiDE_unscaled,69.89550185203552
KAN_unscaled,82.51594805717468
XGBRegressor_unscaled,18.562257051467896
SVR_unscaled,12.5201735496521
CatBoostRegressor_unscaled,180.63378047943115
LGBMRegressor_unscaled,10.783154726028442
NHITS_unscaled,35.3553900718689
LSTM_unscaled,60.75846576690674
TiDE_unscaled,69.46793627738953
KAN_unscaled,81.84587693214417
XGBRegressor_unscaled,18.885257720947266
SVR_unscaled,12.38869047164917
CatBoostRegressor_unscaled,194.76271033287048
LGBMRegressor_unscaled,11.410016775131226
NHITS_unscaled,37.65447735786438
LSTM_unscaled,60.37888932228088
TFT_unscaled,1058.9672904014587
TiDE_unscaled,69.20735692977905
KAN_unscaled,81.81743884086609
