Pipelines,RMSE,MAE,MSE,PMAE,PMSE,PRMSE,VMAE,VMSE,VRMSE,xMAE,xMSE,xRMSE,features
XGBM_val,1328.0610458709982,833.7321968443246,1763746.1415599694,785.3371381867167,1248878.8417989037,1117.5324790800953,1737.4601870495635,4044296.8754497455,2011.0437278810589,1592.341060642959,3618229.442811514,1902.164410037028,483.0
XGBM_test,1496.3542756900272,986.8121869574164,2239076.118375826,1319.5657028931716,3608396.4928077566,1899.5779775538977,1640.6074665767164,3559263.5888532405,1886.6010677547176,1498.4668383809485,3581017.088314019,1892.3575476938863,
XGBM_SF_val,1283.019330352982,788.9237673779384,1646138.6020594144,1598.3062073265912,5436977.519773669,2331.732729060873,1688.7238292703614,4204323.928880333,2050.4448124444443,1674.9427047361803,4392200.498496046,2095.7577385032,82.0
XGBM_SF_test,1444.581026914057,936.5732903982555,2086814.3433200717,1709.195968075719,5547928.158517746,2355.4040329671143,1358.0566876260975,2529649.4343468025,1590.4871688721046,1513.522933932037,3865986.5793995867,1966.2112245126632,
